"Cluster","first_region","legend_label","hex"
344,"Medulla","Medulla","#E0ECF4"
345,"Medulla","Medulla","#E0ECF4"
346,"Medulla","Medulla","#E0ECF4"
347,"Medulla","Medulla","#E0ECF4"
348,"Medulla","Medulla","#E0ECF4"
349,"Medulla","Medulla","#E0ECF4"
350,"Medulla","Medulla","#E0ECF4"
351,"Midbrain","Midbrain","#54278F"
352,"Midbrain","Midbrain","#54278F"
353,"Thalamus","Thalamus","#FDAE6B"
354,"Midbrain","Midbrain","#54278F"
355,"Midbrain","Midbrain","#54278F"
356,"Midbrain","Midbrain","#54278F"
357,"Midbrain","Midbrain","#54278F"
358,"Midbrain","Midbrain","#54278F"
359,"Midbrain","Midbrain","#54278F"
360,"Midbrain","Midbrain","#54278F"
361,"Midbrain","Midbrain","#54278F"
362,"Pons","Pons","#BCBDDC"
363,"Thalamus","Thalamus","#FDAE6B"
364,"Midbrain","Midbrain","#54278F"
365,"Pons","Pons","#BCBDDC"
366,"Midbrain","Midbrain","#54278F"
367,"Midbrain","Midbrain","#54278F"
368,"Midbrain","Midbrain","#54278F"
369,"Midbrain","Midbrain","#54278F"
370,"Midbrain","Midbrain","#54278F"
371,"Midbrain","Midbrain","#54278F"
372,"Midbrain","Midbrain","#54278F"
373,"Midbrain","Midbrain","#54278F"
374,"Pons","Pons","#BCBDDC"
375,"Thalamus","Thalamus","#FDAE6B"
376,"Hypothalamus","Hypothalamus","#FEE6CE"
377,"Hypothalamus","Hypothalamus","#FEE6CE"
378,"Amygdala","Amygdala","#E31A1C"
379,"Pons","Pons","#BCBDDC"
380,"Pons","Pons","#BCBDDC"
381,"Pons","Pons","#BCBDDC"
382,"Amygdala","Amygdala","#E31A1C"
383,"Hypothalamus","Hypothalamus","#FEE6CE"
384,"Hypothalamus","Hypothalamus","#FEE6CE"
385,"Hypothalamus","Hypothalamus","#FEE6CE"
386,"Medulla","Medulla","#E0ECF4"
387,"Pons","Pons","#BCBDDC"
388,"Pons","Pons","#BCBDDC"
389,"Pons","Pons","#BCBDDC"
390,"Thalamus","Thalamus","#FDAE6B"
391,"Hypothalamus","Hypothalamus","#FEE6CE"
392,"Amygdala","Amygdala","#E31A1C"
393,"Thalamus","Thalamus","#FDAE6B"
394,"Pons","Pons","#BCBDDC"
395,"Midbrain","Midbrain","#54278F"
396,"Pons","Pons","#BCBDDC"
397,"Pons","Pons","#BCBDDC"
398,"Medulla","Medulla","#E0ECF4"
399,"Medulla","Medulla","#E0ECF4"
400,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
401,"Hippocampus","Hippocampus","#41AB5D"
402,"Midbrain","Midbrain","#54278F"
403,"Cerebral Cortex","Cerebral Cortex","#969696"
404,"Cerebral Cortex","Cerebral Cortex","#969696"
405,"Cerebral Cortex","Cerebral Cortex","#969696"
406,"Amygdala","Amygdala","#E31A1C"
407,"Amygdala","Amygdala","#E31A1C"
408,"Cerebral Cortex","Cerebral Cortex","#969696"
409,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
410,"Hypothalamus","Hypothalamus","#FEE6CE"
411,"Hypothalamus","Hypothalamus","#FEE6CE"
412,"Hypothalamus","Hypothalamus","#FEE6CE"
413,"Hypothalamus","Hypothalamus","#FEE6CE"
414,"Hypothalamus","Hypothalamus","#FEE6CE"
415,"Hypothalamus","Hypothalamus","#FEE6CE"
416,"Hypothalamus","Hypothalamus","#FEE6CE"
417,"Hypothalamus","Hypothalamus","#FEE6CE"
418,"Hypothalamus","Hypothalamus","#FEE6CE"
419,"Amygdala","Amygdala","#E31A1C"
420,"Thalamus","Thalamus","#FDAE6B"
421,"Hypothalamus","Hypothalamus","#FEE6CE"
422,"Hypothalamus","Hypothalamus","#FEE6CE"
423,"Amygdala","Amygdala","#E31A1C"
424,"Amygdala","Amygdala","#E31A1C"
425,"Thalamus","Thalamus","#FDAE6B"
426,"Amygdala","Amygdala","#E31A1C"
427,"Amygdala","Amygdala","#E31A1C"
428,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
429,"Basal Forebrain","Basal Forebrain (NAC/SEP/SI)","gray15"
430,"Amygdala","Amygdala","#E31A1C"
431,"Hypothalamus","Hypothalamus","#FEE6CE"
432,"Hypothalamus","Hypothalamus","#FEE6CE"
433,"Midbrain","Midbrain","#54278F"
434,"Thalamus","Thalamus","#FDAE6B"
435,"Midbrain","Midbrain","#54278F"
436,"Thalamus","Thalamus","#FDAE6B"
437,"Thalamus","Thalamus","#FDAE6B"
438,"Midbrain","Midbrain","#54278F"
439,"Midbrain","Midbrain","#54278F"
440,"Thalamus","Thalamus","#FDAE6B"
441,"Thalamus","Thalamus","#FDAE6B"
442,"Thalamus","Thalamus","#FDAE6B"
443,"Thalamus","Thalamus","#FDAE6B"
444,"Thalamus","Thalamus","#FDAE6B"
445,"Thalamus","Thalamus","#FDAE6B"
446,"Thalamus","Thalamus","#FDAE6B"
447,"Thalamus","Thalamus","#FDAE6B"
448,"Thalamus","Thalamus","#FDAE6B"
449,"Thalamus","Thalamus","#FDAE6B"
450,"Thalamus","Thalamus","#FDAE6B"
